mu_q15,initial_rms,final_rms,change_db,coeff_rmse,clip_count,sample_count,final_coeff0,final_coeff1,final_coeff2,final_coeff3
0,1418.9746827870556,1406.0350710753094,0.07956986706585378,834.4579078659391,0,4096,0,0,0,0
32,1496.4452964911966,4013.5296653942896,-8.569312635813716,2106.1918890351612,0,4096,-951,-2373,-1718,-1857
128,1475.1405064168887,3621.8133509636787,-7.801853533987918,1861.1412808240807,0,4096,712,-2900,-1072,-1452
256,1441.5191165160627,3164.026718316195,-6.8283947219428685,1578.8865513986432,0,4096,2624,-3492,-397,-996
512,1374.9158021095782,2469.77348997775,-5.0876204257579785,1167.6611672752074,0,4096,5054,-4098,481,-336
1024,1261.9243775938496,1621.5254590826273,-2.177808834894112,700.6076380542821,0,4096,7023,-4464,1276,313
2048,1091.953444162685,839.5825564771013,2.2828143108056156,324.53406504556654,0,4096,7879,-4370,1746,737
4096,879.1085350548304,341.9695396020309,8.201101457083025,140.97057538720625,0,4096,8072,-4230,1932,910
8192,673.16552077433,131.67994312679133,14.172044664344538,82.84888351691892,0,4096,8117,-4180,1973,952
16384,526.9381857129923,93.49271988703184,15.019637547106978,36.653359327625076,0,4096,8165,-4126,2033,1027
32767,4657.001412733641,28006.88514134181,-15.583168812773682,15675.22741586426,0,4096,12259,-8970,6744,13356
65535,39835.904935856466,40733.371303203094,-0.1935133742954044,19908.959733543965,0,4096,-17916,-19419,-11924,-28365
